node,strength,degree,betweenness,strength_rank,betweenness_rank,is_core_strength,is_bridge_betweenness,is_bridge_and_core
rahulpandey535,1.0,1,0.0,276,133,False,False,False
rauchg,1.0,1,0.0,276,133,False,False,False
rensoostenbachBL,1.0,1,0.0,276,133,False,False,False
rhealakhotia,1.0,1,0.0,276,133,False,False,False
robertoberto,1.0,1,0.0,276,133,False,False,False
rockokw,1.0,1,0.0,276,133,False,False,False
roozbehR,1.0,1,0.0,276,133,False,False,False
rshan1515,1.0,1,0.0,276,133,False,False,False
sandesh-bhandari-dev,1.0,1,0.0,276,133,False,False,False
sandeshkumatgi,1.0,1,0.0,276,133,False,False,False
santoshvandari,1.0,1,0.0,276,133,False,False,False
serge-eric-kalaga,1.0,1,0.0,276,133,False,False,False
shyam-ramani,1.0,1,0.0,276,133,False,False,False
skjeetmal12-dev,1.0,1,0.0,276,133,False,False,False
stg609,1.0,1,0.0,276,133,False,False,False
sukantamajhi,1.0,1,0.0,276,133,False,False,False
thakoreh,1.0,1,0.0,276,133,False,False,False
themojtabajaveed,1.0,1,0.0,276,133,False,False,False
tmdgusya,1.0,1,0.0,276,133,False,False,False
tsayin4,1.0,1,0.0,276,133,False,False,False
tsmathis,1.0,1,0.0,276,133,False,False,False
uvansh,1.0,1,0.0,276,133,False,False,False
varma887,1.0,1,0.0,276,133,False,False,False
venkatasaikumarguntupalli,1.0,1,0.0,276,133,False,False,False
victorgaard,1.0,1,0.0,276,133,False,False,False
vishds,1.0,1,0.0,276,133,False,False,False
vitali87,1.0,1,0.0,276,133,False,False,False
vitalvalid,1.0,1,0.0,276,133,False,False,False
